match_id,season,round,round_number,match_date,home_team,away_team,venue,home_state,away_state,is_interstate,home_rest_days,away_rest_days,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score,score_margin,home_win,target_home_win
M10014,1983,Round 2,2,1983-06-09,Gold Coast Suns,Adelaide Crows,Heritage Bank Stadium,QLD,SA,1,6,7,15,4,94,11,5,71,23,1,1
M10015,1983,Round 2,2,1983-06-11,Geelong Cats,Hawthorn Hawks,GMHBA Stadium,VIC,VIC,0,7,6,12,6,78,12,5,77,1,1,1
M10016,1983,Round 2,2,1983-06-13,Richmond Tigers,Sydney Swans,MCG,VIC,NSW,1,8,6,16,5,101,14,3,87,14,1,1
M10017,1983,Round 2,2,1983-06-15,Western Bulldogs,GWS Giants,Marvel Stadium,VIC,NSW,1,7,6,16,6,102,14,4,88,14,1,1
M10018,1983,Round 2,2,1983-06-17,Collingwood Magpies,Melbourne Demons,MCG,VIC,VIC,0,6,7,15,7,97,15,7,97,0,0,0
M10019,1983,Round 3,3,1983-07-01,Hawthorn Hawks,North Melbourne Kangaroos,MCG,VIC,VIC,0,9,7,14,6,90,15,3,93,-3,0,0
M10020,1983,Round 3,3,1983-07-03,Adelaide Crows,Geelong Cats,Adelaide Oval,SA,VIC,1,7,6,13,1,79,16,2,98,-19,0,0
M10021,1983,Round 3,3,1983-07-05,Essendon Bombers,Western Bulldogs,Marvel Stadium,VIC,VIC,0,7,7,16,7,103,16,3,99,4,1,1
M10022,1983,Round 3,3,1983-07-07,GWS Giants,Melbourne Demons,GIANTS Stadium,NSW,VIC,1,6,7,18,1,109,14,5,89,20,1,1
M10023,1983,Round 3,3,1983-07-09,Sydney Swans,Richmond Tigers,SCG,NSW,VIC,1,9,7,16,6,102,15,3,93,9,1,1
M10024,1983,Round 3,3,1983-07-11,Brisbane Lions,Collingwood Magpies,Gabba,QLD,VIC,1,7,6,14,9,93,14,2,86,7,1,1
M10025,1983,Round 3,3,1983-07-13,St Kilda Saints,Port Adelaide Power,Marvel Stadium,VIC,SA,1,9,7,15,2,92,14,8,92,0,0,0
M10026,1983,Round 3,3,1983-07-15,Gold Coast Suns,Carlton Blues,Heritage Bank Stadium,QLD,VIC,1,7,8,15,7,97,15,5,95,2,1,1
M10027,1983,Round 3,3,1983-07-17,West Coast Eagles,Fremantle Dockers,Optus Stadium,WA,WA,0,9,8,14,6,90,13,4,82,8,1,1
M10028,1983,Round 4,4,1983-08-01,West Coast Eagles,Essendon Bombers,Optus Stadium,WA,VIC,1,7,7,16,9,105,15,1,91,14,1,1
M10029,1983,Round 4,4,1983-08-03,Geelong Cats,St Kilda Saints,GMHBA Stadium,VIC,VIC,0,7,7,14,6,90,11,6,72,18,1,1
M10030,1983,Round 4,4,1983-08-05,GWS Giants,Port Adelaide Power,GIANTS Stadium,NSW,SA,1,7,6,12,7,79,13,4,82,-3,0,0
M10031,1983,Round 4,4,1983-08-07,Brisbane Lions,Melbourne Demons,Gabba,QLD,VIC,1,7,9,14,6,90,9,5,59,31,1,1
M10032,1983,Round 4,4,1983-08-09,Gold Coast Suns,Collingwood Magpies,Heritage Bank Stadium,QLD,VIC,1,8,6,17,4,106,15,8,98,8,1,1
M10033,1983,Round 4,4,1983-08-11,Western Bulldogs,Richmond Tigers,Marvel Stadium,VIC,VIC,0,8,7,15,7,97,15,4,94,3,1,1
M10034,1983,Round 4,4,1983-08-13,Sydney Swans,North Melbourne Kangaroos,SCG,NSW,VIC,1,7,8,14,0,84,13,5,83,1,1,1
M10035,1983,Round 4,4,1983-08-15,Adelaide Crows,Carlton Blues,Adelaide Oval,SA,VIC,1,7,6,15,6,96,11,7,73,23,1,1
M10036,1983,Round 4,4,1983-08-17,Fremantle Dockers,Hawthorn Hawks,Optus Stadium,WA,VIC,1,6,8,16,8,104,14,4,88,16,1,1
M10037,1983,Round 5,5,1983-09-01,Melbourne Demons,Hawthorn Hawks,MCG,VIC,VIC,0,9,8,15,2,92,14,5,89,3,1,1
M10038,1983,Round 5,5,1983-09-03,Western Bulldogs,Geelong Cats,Marvel Stadium,VIC,VIC,0,7,7,15,5,95,14,5,89,6,1,1
M10039,1983,Round 5,5,1983-09-05,Adelaide Crows,Brisbane Lions,Adelaide Oval,SA,QLD,1,7,7,17,5,107,14,4,88,19,1,1
M10040,1983,Round 5,5,1983-09-07,Essendon Bombers,Collingwood Magpies,Marvel Stadium,VIC,VIC,0,7,8,16,5,101,14,8,92,9,1,1
M10041,1983,Round 5,5,1983-09-09,North Melbourne Kangaroos,St Kilda Saints,Marvel Stadium,VIC,VIC,0,7,9,16,4,100,13,2,80,20,1,1
M10042,1983,Round 5,5,1983-09-11,West Coast Eagles,Fremantle Dockers,Optus Stadium,WA,WA,0,7,6,15,7,97,13,2,80,17,1,1
M10043,1983,Round 5,5,1983-09-13,Richmond Tigers,Sydney Swans,MCG,VIC,NSW,1,8,8,14,4,88,15,3,93,-5,0,0
M10044,1983,Round 5,5,1983-09-15,Gold Coast Suns,Port Adelaide Power,Heritage Bank Stadium,QLD,SA,1,7,7,14,6,90,16,0,96,-6,0,0
M10045,1983,Round 5,5,1983-09-17,GWS Giants,Carlton Blues,GIANTS Stadium,NSW,VIC,1,8,6,14,2,86,14,5,89,-3,0,0
M10046,1983,Round 6,6,1983-04-01,West Coast Eagles,St Kilda Saints,Optus Stadium,WA,VIC,1,7,8,16,6,102,15,3,93,9,1,1
M10047,1983,Round 6,6,1983-04-03,Melbourne Demons,Collingwood Magpies,MCG,VIC,VIC,0,9,7,15,5,95,13,2,80,15,1,1
M10048,1983,Round 6,6,1983-04-05,Brisbane Lions,Adelaide Crows,Gabba,QLD,SA,1,7,7,16,2,98,11,3,69,29,1,1
M10049,1983,Round 6,6,1983-04-07,Hawthorn Hawks,Gold Coast Suns,MCG,VIC,QLD,1,7,7,16,7,103,13,3,81,22,1,1
M10050,1983,Round 6,6,1983-04-09,Carlton Blues,Essendon Bombers,Marvel Stadium,VIC,VIC,0,6,8,16,7,103,11,3,69,34,1,1
M10051,1983,Round 6,6,1983-04-11,Sydney Swans,Port Adelaide Power,SCG,NSW,SA,1,7,7,13,6,84,10,5,65,19,1,1
M10052,1983,Round 6,6,1983-04-13,Western Bulldogs,North Melbourne Kangaroos,Marvel Stadium,VIC,VIC,0,6,7,16,0,96,13,7,85,11,1,1
M10053,1983,Round 6,6,1983-04-15,Richmond Tigers,Fremantle Dockers,MCG,VIC,WA,1,9,7,12,5,77,14,7,91,-14,0,0
M10054,1983,Round 6,6,1983-04-17,Geelong Cats,GWS Giants,GMHBA Stadium,VIC,NSW,1,9,9,15,4,94,10,9,69,25,1,1
M10055,1983,Round 7,7,1983-05-01,Western Bulldogs,Hawthorn Hawks,Marvel Stadium,VIC,VIC,0,7,8,16,4,100,16,5,101,-1,0,0
M10056,1983,Round 7,7,1983-05-03,North Melbourne Kangaroos,Sydney Swans,Marvel Stadium,VIC,NSW,1,8,6,15,2,92,16,0,96,-4,0,0
M10057,1983,Round 7,7,1983-05-05,West Coast Eagles,Adelaide Crows,Optus Stadium,WA,SA,1,7,6,15,1,91,13,7,85,6,1,1
M10058,1983,Round 7,7,1983-05-07,Melbourne Demons,Richmond Tigers,MCG,VIC,VIC,0,6,7,11,7,73,14,7,91,-18,0,0
M10059,1983,Round 7,7,1983-05-09,Geelong Cats,Carlton Blues,GMHBA Stadium,VIC,VIC,0,8,8,16,4,100,13,3,81,19,1,1
M10060,1983,Round 7,7,1983-05-11,Brisbane Lions,St Kilda Saints,Gabba,QLD,VIC,1,7,8,16,4,100,14,6,90,10,1,1
M10061,1983,Round 7,7,1983-05-13,Port Adelaide Power,Fremantle Dockers,Adelaide Oval,SA,WA,1,7,7,15,6,96,13,5,83,13,1,1
M10062,1983,Round 7,7,1983-05-15,GWS Giants,Essendon Bombers,GIANTS Stadium,NSW,VIC,1,9,9,17,5,107,13,9,87,20,1,1
M10063,1983,Round 7,7,1983-05-17,Collingwood Magpies,Gold Coast Suns,MCG,VIC,QLD,1,9,7,16,2,98,14,4,88,10,1,1
M10064,1983,Round 8,8,1983-06-01,Brisbane Lions,Port Adelaide Power,Gabba,QLD,SA,1,7,8,14,5,89,12,6,78,11,1,1
M10065,1983,Round 8,8,1983-06-03,Essendon Bombers,Gold Coast Suns,Marvel Stadium,VIC,QLD,1,9,7,14,4,88,16,3,99,-11,0,0
M10066,1983,Round 8,8,1983-06-05,Fremantle Dockers,Hawthorn Hawks,Optus Stadium,WA,VIC,1,8,7,14,6,90,13,2,80,10,1,1
M10067,1983,Round 8,8,1983-06-07,Sydney Swans,Geelong Cats,SCG,NSW,VIC,1,8,6,15,2,92,12,0,72,20,1,1
M10068,1983,Round 8,8,1983-06-09,West Coast Eagles,Collingwood Magpies,Optus Stadium,WA,VIC,1,7,6,15,7,97,14,0,84,13,1,1
M10069,1983,Round 8,8,1983-06-11,North Melbourne Kangaroos,Carlton Blues,Marvel Stadium,VIC,VIC,0,7,7,17,2,104,12,5,77,27,1,1
M10070,1983,Round 8,8,1983-06-13,Melbourne Demons,St Kilda Saints,MCG,VIC,VIC,0,9,7,16,7,103,12,8,80,23,1,1
M10071,1983,Round 8,8,1983-06-15,GWS Giants,Richmond Tigers,GIANTS Stadium,NSW,VIC,1,8,7,15,7,97,12,8,80,17,1,1
M10072,1983,Round 8,8,1983-06-17,Western Bulldogs,Adelaide Crows,Marvel Stadium,VIC,SA,1,7,6,17,7,109,14,4,88,21,1,1
M10073,1983,Round 9,9,1983-07-01,North Melbourne Kangaroos,Fremantle Dockers,Marvel Stadium,VIC,WA,1,9,7,16,6,102,14,6,90,12,1,1
M10074,1983,Round 9,9,1983-07-03,Sydney Swans,Western Bulldogs,SCG,NSW,VIC,1,9,7,13,5,83,10,7,67,16,1,1
M10075,1983,Round 9,9,1983-07-05,Richmond Tigers,Carlton Blues,MCG,VIC,VIC,0,9,7,16,0,96,14,1,85,11,1,1
M10076,1983,Round 9,9,1983-07-07,Brisbane Lions,GWS Giants,Gabba,QLD,NSW,1,7,7,14,6,90,12,6,78,12,1,1
M10077,1983,Round 9,9,1983-07-09,Geelong Cats,St Kilda Saints,GMHBA Stadium,VIC,VIC,0,6,7,14,6,90,14,5,89,1,1,1
M10078,1983,Round 9,9,1983-07-11,Hawthorn Hawks,Adelaide Crows,MCG,VIC,SA,1,7,8,15,6,96,13,4,82,14,1,1
M10079,1983,Round 9,9,1983-07-13,Port Adelaide Power,Melbourne Demons,Adelaide Oval,SA,VIC,1,7,8,16,3,99,12,2,74,25,1,1
M10080,1983,Round 9,9,1983-07-15,West Coast Eagles,Essendon Bombers,Optus Stadium,WA,VIC,1,9,7,15,0,90,12,1,73,17,1,1
M10081,1983,Round 9,9,1983-07-17,Collingwood Magpies,Gold Coast Suns,MCG,VIC,QLD,1,7,7,12,6,78,14,2,86,-8,0,0
M10082,1983,Round 10,10,1983-08-01,Brisbane Lions,Geelong Cats,Gabba,QLD,VIC,1,9,7,16,1,97,13,4,82,15,1,1
M10083,1983,Round 10,10,1983-08-03,St Kilda Saints,Carlton Blues,Marvel Stadium,VIC,VIC,0,7,9,12,6,78,14,3,87,-9,0,0
M10084,1983,Round 10,10,1983-08-05,GWS Giants,Fremantle Dockers,GIANTS Stadium,NSW,WA,1,7,7,17,4,106,14,5,89,17,1,1
M10085,1983,Round 10,10,1983-08-07,Hawthorn Hawks,North Melbourne Kangaroos,MCG,VIC,VIC,0,9,6,14,6,90,15,2,92,-2,0,0
M10086,1983,Round 10,10,1983-08-09,Western Bulldogs,West Coast Eagles,Marvel Stadium,VIC,WA,1,8,7,16,9,105,14,4,88,17,1,1
M10087,1983,Round 10,10,1983-08-11,Essendon Bombers,Port Adelaide Power,Marvel Stadium,VIC,SA,1,8,8,15,6,96,15,4,94,2,1,1
M10088,1983,Round 10,10,1983-08-13,Gold Coast Suns,Sydney Swans,Heritage Bank Stadium,QLD,NSW,1,7,7,16,5,101,13,4,82,19,1,1
M10089,1983,Round 10,10,1983-08-15,Collingwood Magpies,Adelaide Crows,MCG,VIC,SA,1,7,7,16,3,99,14,5,89,10,1,1
M10090,1983,Round 10,10,1983-08-17,Melbourne Demons,Richmond Tigers,MCG,VIC,VIC,0,7,7,16,1,97,16,4,100,-3,0,0
M10091,1983,Round 11,11,1983-09-01,Port Adelaide Power,Adelaide Crows,Adelaide Oval,SA,SA,0,7,8,15,2,92,12,3,75,17,1,1
M10092,1983,Round 11,11,1983-09-03,St Kilda Saints,Collingwood Magpies,Marvel Stadium,VIC,VIC,0,7,7,15,6,96,13,4,82,14,1,1
M10093,1983,Round 11,11,1983-09-05,Gold Coast Suns,Carlton Blues,Heritage Bank Stadium,QLD,VIC,1,6,7,14,3,87,12,2,74,13,1,1
M10094,1983,Round 11,11,1983-09-07,Melbourne Demons,Geelong Cats,MCG,VIC,VIC,0,8,7,16,5,101,14,4,88,13,1,1
M10095,1983,Round 11,11,1983-09-09,West Coast Eagles,GWS Giants,Optus Stadium,WA,NSW,1,6,7,15,4,94,14,4,88,6,1,1
M10096,1983,Round 11,11,1983-09-11,Brisbane Lions,Hawthorn Hawks,Gabba,QLD,VIC,1,7,9,14,3,87,14,3,87,0,0,0
M10097,1983,Round 11,11,1983-09-13,Essendon Bombers,Fremantle Dockers,Marvel Stadium,VIC,WA,1,7,9,15,2,92,14,6,90,2,1,1
M10098,1983,Round 11,11,1983-09-15,Richmond Tigers,North Melbourne Kangaroos,MCG,VIC,VIC,0,7,7,14,6,90,13,4,82,8,1,1
M10099,1983,Round 11,11,1983-09-17,Sydney Swans,Western Bulldogs,SCG,NSW,VIC,1,8,6,15,5,95,12,7,79,16,1,1
M10100,1983,Round 12,12,1983-04-01,GWS Giants,Sydney Swans,GIANTS Stadium,NSW,NSW,0,7,7,13,1,79,14,2,86,-7,0,0
M10101,1983,Round 12,12,1983-04-03,North Melbourne Kangaroos,Essendon Bombers,Marvel Stadium,VIC,VIC,0,8,7,14,8,92,13,6,84,8,1,1
M10102,1983,Round 12,12,1983-04-05,Melbourne Demons,Carlton Blues,MCG,VIC,VIC,0,8,9,17,1,103,15,8,98,5,1,1
M10103,1983,Round 12,12,1983-04-07,Gold Coast Suns,West Coast Eagles,Heritage Bank Stadium,QLD,WA,1,6,7,15,3,93,14,1,85,8,1,1
M10104,1983,Round 12,12,1983-04-09,Collingwood Magpies,Brisbane Lions,MCG,VIC,QLD,1,8,6,14,7,91,14,3,87,4,1,1
M10105,1983,Round 12,12,1983-04-11,Fremantle Dockers,Western Bulldogs,Optus Stadium,WA,VIC,1,9,7,15,9,99,14,0,84,15,1,1
M10106,1983,Round 12,12,1983-04-13,Adelaide Crows,Geelong Cats,Adelaide Oval,SA,VIC,1,9,7,16,6,102,12,1,73,29,1,1
M10107,1983,Round 12,12,1983-04-15,Richmond Tigers,Hawthorn Hawks,MCG,VIC,VIC,0,7,8,16,6,102,16,4,100,2,1,1
M10108,1983,Round 12,12,1983-04-17,Port Adelaide Power,St Kilda Saints,Adelaide Oval,SA,VIC,1,9,7,13,6,84,11,6,72,12,1,1
M10109,1983,Round 13,13,1983-05-01,Brisbane Lions,Adelaide Crows,Gabba,QLD,SA,1,7,7,13,6,84,12,5,77,7,1,1
M10110,1983,Round 13,13,1983-05-03,Geelong Cats,Richmond Tigers,GMHBA Stadium,VIC,VIC,0,6,6,15,0,90,15,2,92,-2,0,0
M10111,1983,Round 13,13,1983-05-05,Melbourne Demons,Collingwood Magpies,MCG,VIC,VIC,0,7,7,17,3,105,13,4,82,23,1,1
M10112,1983,Round 13,13,1983-05-07,Western Bulldogs,Sydney Swans,Marvel Stadium,VIC,NSW,1,7,7,18,5,113,17,5,107,6,1,1
M10113,1983,Round 13,13,1983-05-09,Carlton Blues,North Melbourne Kangaroos,Marvel Stadium,VIC,VIC,0,8,6,16,2,98,15,8,98,0,0,0
M10114,1983,Round 13,13,1983-05-11,Port Adelaide Power,Gold Coast Suns,Adelaide Oval,SA,QLD,1,7,7,15,5,95,11,6,72,23,1,1
M10115,1983,Round 13,13,1983-05-13,Hawthorn Hawks,GWS Giants,MCG,VIC,NSW,1,7,8,15,4,94,15,5,95,-1,0,0
M10116,1983,Round 13,13,1983-05-15,Essendon Bombers,St Kilda Saints,Marvel Stadium,VIC,VIC,0,9,7,16,1,97,16,4,100,-3,0,0
M10117,1983,Round 13,13,1983-05-17,West Coast Eagles,Fremantle Dockers,Optus Stadium,WA,WA,0,6,7,17,2,104,14,6,90,14,1,1
M10118,1983,Round 14,14,1983-06-01,St Kilda Saints,Carlton Blues,Marvel Stadium,VIC,VIC,0,7,6,16,3,99,13,7,85,14,1,1
M10119,1983,Round 14,14,1983-06-03,Hawthorn Hawks,Sydney Swans,MCG,VIC,NSW,1,6,9,14,4,88,15,4,94,-6,0,0
M10120,1983,Round 14,14,1983-06-05,Brisbane Lions,Melbourne Demons,Gabba,QLD,VIC,1,9,6,13,5,83,15,5,95,-12,0,0
M10121,1983,Round 14,14,1983-06-07,Richmond Tigers,Collingwood Magpies,MCG,VIC,VIC,0,9,8,12,6,78,15,8,98,-20,0,0
M10122,1983,Round 14,14,1983-06-09,Gold Coast Suns,West Coast Eagles,Heritage Bank Stadium,QLD,WA,1,9,7,12,0,72,15,4,94,-22,0,0
M10123,1983,Round 14,14,1983-06-11,Essendon Bombers,Western Bulldogs,Marvel Stadium,VIC,VIC,0,7,7,15,3,93,14,9,93,0,0,0
M10124,1983,Round 14,14,1983-06-13,Port Adelaide Power,GWS Giants,Adelaide Oval,SA,NSW,1,8,6,16,0,96,12,7,79,17,1,1
M10125,1983,Round 14,14,1983-06-15,Fremantle Dockers,North Melbourne Kangaroos,Optus Stadium,WA,VIC,1,6,7,17,6,108,14,5,89,19,1,1
M10126,1983,Round 14,14,1983-06-17,Geelong Cats,Adelaide Crows,GMHBA Stadium,VIC,SA,1,7,9,14,6,90,14,4,88,2,1,1
M10127,1983,Round 15,15,1983-07-01,Melbourne Demons,Richmond Tigers,MCG,VIC,VIC,0,7,7,17,3,105,15,4,94,11,1,1
M10128,1983,Round 15,15,1983-07-03,Sydney Swans,North Melbourne Kangaroos,SCG,NSW,VIC,1,7,7,16,2,98,16,1,97,1,1,1
M10129,1983,Round 15,15,1983-07-05,Adelaide Crows,Essendon Bombers,Adelaide Oval,SA,VIC,1,7,8,16,9,105,15,6,96,9,1,1
M10130,1983,Round 15,15,1983-07-07,Fremantle Dockers,Gold Coast Suns,Optus Stadium,WA,QLD,1,7,8,16,4,100,14,6,90,10,1,1
M10131,1983,Round 15,15,1983-07-09,GWS Giants,Western Bulldogs,GIANTS Stadium,NSW,VIC,1,9,7,15,6,96,13,7,85,11,1,1
M10132,1983,Round 15,15,1983-07-11,West Coast Eagles,Hawthorn Hawks,Optus Stadium,WA,VIC,1,9,7,14,3,87,17,2,104,-17,0,0
M10133,1983,Round 15,15,1983-07-13,Geelong Cats,Collingwood Magpies,GMHBA Stadium,VIC,VIC,0,7,9,15,4,94,15,4,94,0,0,0
M10134,1983,Round 15,15,1983-07-15,Carlton Blues,St Kilda Saints,Marvel Stadium,VIC,VIC,0,8,7,17,3,105,15,5,95,10,1,1
M10135,1983,Round 15,15,1983-07-17,Port Adelaide Power,Brisbane Lions,Adelaide Oval,SA,QLD,1,9,7,15,6,96,15,4,94,2,1,1
M10136,1983,Round 16,16,1983-08-01,Western Bulldogs,Geelong Cats,Marvel Stadium,VIC,VIC,0,8,7,14,7,91,15,0,90,1,1,1
M10137,1983,Round 16,16,1983-08-03,Brisbane Lions,Richmond Tigers,Gabba,QLD,VIC,1,6,7,16,0,96,14,1,85,11,1,1
M10138,1983,Round 16,16,1983-08-05,St Kilda Saints,Hawthorn Hawks,Marvel Stadium,VIC,VIC,0,8,8,13,9,87,14,4,88,-1,0,0
M10139,1983,Round 16,16,1983-08-07,GWS Giants,Fremantle Dockers,GIANTS Stadium,NSW,WA,1,8,7,20,1,121,13,8,86,35,1,1
M10140,1983,Round 16,16,1983-08-09,Adelaide Crows,Gold Coast Suns,Adelaide Oval,SA,QLD,1,7,7,16,4,100,12,5,77,23,1,1
M10141,1983,Round 16,16,1983-08-11,Melbourne Demons,Sydney Swans,MCG,VIC,NSW,1,7,7,15,5,95,13,7,85,10,1,1
M10142,1983,Round 16,16,1983-08-13,Port Adelaide Power,West Coast Eagles,Adelaide Oval,SA,WA,1,6,6,16,7,103,12,4,76,27,1,1
M10143,1983,Round 16,16,1983-08-15,Essendon Bombers,North Melbourne Kangaroos,Marvel Stadium,VIC,VIC,0,6,7,12,9,81,16,4,100,-19,0,0
M10144,1983,Round 16,16,1983-08-17,Collingwood Magpies,Carlton Blues,MCG,VIC,VIC,0,7,9,14,4,88,15,4,94,-6,0,0
M10145,1983,Round 17,17,1983-09-01,Carlton Blues,Essendon Bombers,Marvel Stadium,VIC,VIC,0,9,7,14,6,90,14,3,87,3,1,1
M10146,1983,Round 17,17,1983-09-03,West Coast Eagles,St Kilda Saints,Optus Stadium,WA,VIC,1,6,7,16,9,105,10,5,65,40,1,1
M10147,1983,Round 17,17,1983-09-05,Richmond Tigers,Geelong Cats,MCG,VIC,VIC,0,8,7,14,7,91,15,5,95,-4,0,0
M10148,1983,Round 17,17,1983-09-07,Western Bulldogs,Gold Coast Suns,Marvel Stadium,VIC,QLD,1,7,9,16,6,102,14,8,92,10,1,1
M10149,1983,Round 17,17,1983-09-09,GWS Giants,Sydney Swans,GIANTS Stadium,NSW,NSW,0,8,9,15,6,96,15,4,94,2,1,1
M10150,1983,Round 17,17,1983-09-11,North Melbourne Kangaroos,Adelaide Crows,Marvel Stadium,VIC,SA,1,7,7,16,1,97,15,1,91,6,1,1
M10151,1983,Round 17,17,1983-09-13,Hawthorn Hawks,Collingwood Magpies,MCG,VIC,VIC,0,7,9,14,8,92,13,3,81,11,1,1
M10152,1983,Round 17,17,1983-09-15,Brisbane Lions,Port Adelaide Power,Gabba,QLD,SA,1,7,7,14,4,88,18,9,117,-29,0,0
M10153,1983,Round 17,17,1983-09-17,Melbourne Demons,Fremantle Dockers,MCG,VIC,WA,1,6,9,13,4,82,14,3,87,-5,0,0
M10154,1983,Round 18,18,1983-04-01,Brisbane Lions,Sydney Swans,Gabba,QLD,NSW,1,7,7,12,5,77,14,0,84,-7,0,0
M10155,1983,Round 18,18,1983-04-03,Melbourne Demons,Gold Coast Suns,MCG,VIC,QLD,1,8,7,16,3,99,12,5,77,22,1,1
M10156,1983,Round 18,18,1983-04-05,St Kilda Saints,Port Adelaide Power,Marvel Stadium,VIC,SA,1,7,8,15,3,93,15,5,95,-2,0,0
M10157,1983,Round 18,18,1983-04-07,Fremantle Dockers,Hawthorn Hawks,Optus Stadium,WA,VIC,1,7,8,13,5,83,10,8,68,15,1,1
M10158,1983,Round 18,18,1983-04-09,Richmond Tigers,West Coast Eagles,MCG,VIC,WA,1,8,7,14,9,93,10,2,62,31,1,1
M10159,1983,Round 18,18,1983-04-11,Essendon Bombers,Adelaide Crows,Marvel Stadium,VIC,SA,1,7,7,14,7,91,13,5,83,8,1,1
M10160,1983,Round 18,18,1983-04-13,Collingwood Magpies,GWS Giants,MCG,VIC,NSW,1,7,7,16,9,105,12,7,79,26,1,1
M10161,1983,Round 18,18,1983-04-15,North Melbourne Kangaroos,Carlton Blues,Marvel Stadium,VIC,VIC,0,9,7,15,0,90,12,8,80,10,1,1
M10162,1983,Round 18,18,1983-04-17,Geelong Cats,Western Bulldogs,GMHBA Stadium,VIC,VIC,0,7,6,16,7,103,12,8,80,23,1,1
M10163,1983,Round 19,19,1983-05-01,Hawthorn Hawks,North Melbourne Kangaroos,MCG,VIC,VIC,0,9,9,18,5,113,16,6,102,11,1,1
M10164,1983,Round 19,19,1983-05-03,Carlton Blues,Gold Coast Suns,Marvel Stadium,VIC,QLD,1,7,6,13,7,85,13,4,82,3,1,1
M10165,1983,Round 19,19,1983-05-05,Melbourne Demons,Collingwood Magpies,MCG,VIC,VIC,0,7,8,15,4,94,13,5,83,11,1,1
M10166,1983,Round 19,19,1983-05-07,Fremantle Dockers,West Coast Eagles,Optus Stadium,WA,WA,0,7,9,16,3,99,14,3,87,12,1,1
M10167,1983,Round 19,19,1983-05-09,St Kilda Saints,Essendon Bombers,Marvel Stadium,VIC,VIC,0,8,8,14,8,92,13,6,84,8,1,1
M10168,1983,Round 19,19,1983-05-11,Adelaide Crows,GWS Giants,Adelaide Oval,SA,NSW,1,7,9,16,7,103,14,4,88,15,1,1
M10169,1983,Round 19,19,1983-05-13,Brisbane Lions,Western Bulldogs,Gabba,QLD,VIC,1,7,6,16,4,100,12,4,76,24,1,1
M10170,1983,Round 19,19,1983-05-15,Port Adelaide Power,Geelong Cats,Adelaide Oval,SA,VIC,1,9,8,16,2,98,14,4,88,10,1,1
M10171,1983,Round 19,19,1983-05-17,Sydney Swans,Richmond Tigers,SCG,NSW,VIC,1,9,7,15,4,94,15,5,95,-1,0,0
M10172,1983,Round 20,20,1983-06-01,Carlton Blues,North Melbourne Kangaroos,Marvel Stadium,VIC,VIC,0,7,8,16,1,97,16,2,98,-1,0,0
M10173,1983,Round 20,20,1983-06-03,Melbourne Demons,Geelong Cats,MCG,VIC,VIC,0,7,6,15,2,92,15,5,95,-3,0,0
M10174,1983,Round 20,20,1983-06-05,Sydney Swans,Collingwood Magpies,SCG,NSW,VIC,1,7,7,17,5,107,12,1,73,34,1,1
M10175,1983,Round 20,20,1983-06-07,Adelaide Crows,St Kilda Saints,Adelaide Oval,SA,VIC,1,7,7,17,6,108,11,7,73,35,1,1
